iter	Passed	Remaining
899	2168	240
900	2170	238
901	2172	236
902	2174	233
903	2176	231
904	2178	228
905	2180	226
906	2182	223
907	2185	221
908	2188	219
909	2190	216
910	2192	214
911	2194	211
912	2196	209
913	2198	206
914	2200	204
915	2202	201
916	2204	199
917	2206	197
918	2208	194
919	2211	192
920	2213	189
921	2216	187
922	2218	185
923	2220	182
924	2222	180
925	2224	177
926	2225	175
927	2227	172
928	2229	170
929	2231	167
930	2233	165
931	2235	163
932	2237	160
933	2239	158
934	2240	155
935	2242	153
936	2245	150
937	2248	148
938	2250	146
939	2253	143
940	2256	141
941	2259	139
942	2261	136
943	2264	134
944	2267	131
945	2269	129
946	2272	127
947	2275	124
948	2278	122
949	2280	120
950	2283	117
951	2285	115
952	2288	112
953	2290	110
954	2293	108
955	2295	105
956	2298	103
957	2300	100
958	2302	98
959	2305	96
960	2307	93
961	2310	91
962	2312	88
963	2315	86
964	2317	84
965	2320	81
966	2322	79
967	2324	76
968	2327	74
969	2329	72
970	2332	69
971	2335	67
972	2338	64
973	2340	62
974	2343	60
975	2345	57
976	2348	55
977	2350	52
978	2353	50
979	2355	48
980	2358	45
981	2361	43
982	2363	40
983	2365	38
984	2368	36
985	2370	33
986	2373	31
987	2376	28
988	2379	26
989	2381	24
990	2384	21
991	2387	19
992	2389	16
993	2392	14
994	2394	12
995	2397	9
996	2399	7
997	2402	4
998	2405	2
999	2407	0
